,url_no,emoji_n0,char_count,word_count,word_density,punctuation_count,upper_case_word_count,stopwords_count,unique_words_count,repeating_word_count,avg_word_length,Adjctive_count,Verb_count,Adverb_count,Noun_count,subjectivity_text,text_neg_score,text_neu_score,text_pos_score,text_sentiment_score,neg_words_in_text,pos_words_in_text,neu_words_in_text,text_polarity_Negetive,text_polarity_Neutral,text_polarity_Positive
0,0.48,0.0,0.14415711520358204,0.37795032066933615,0.2876344086021505,0.38520130576713824,0.07727272727272727,0.24134419551934827,0.2863741339491917,0.12275449101796407,0.14256817400017469,0.2645739910313901,0.14516129032258063,0.0046,0.25735294117647056,0.37982773265814784,0.2679024219638017,0.7283660529203756,0.16551210428305396,0.5632391555766502,0.1575,0.17889908256880732,0.28419182948490235,False,True,False
1,0.18,0.0,0.0651358020849209,0.6515284695771071,0.6177419354838709,0.39608269858541895,0.41363636363636364,0.49389002036659874,0.5877598152424942,0.3982035928143713,0.06204074303360332,0.5112107623318385,0.3064516129032258,0.015,0.4264705882352941,0.6224560958886839,0.22899361720730962,0.572815916758119,0.34230912476722525,0.7510991901865771,0.29750000000000004,0.4357798165137614,0.6050917702782712,False,False,True
2,0.1,0.0,0.03683564737600038,0.44779763648793824,0.4381720430107527,0.27312295973884654,0.16818181818181815,0.3411405295315682,0.4416859122401848,0.15568862275449102,0.034563795394653034,0.3811659192825112,0.3629032258064516,0.011200000000000002,0.41911764705882354,0.5334702899383874,0.23607589402815427,0.6365552981343741,0.2735567970204841,0.6761739719122414,0.2275,0.32568807339449535,0.42628774422735344,False,True,False
3,0.04,0.0,0.019738483322072006,0.5624247159553342,0.560752688172043,0.31991294885745375,0.3136363636363636,0.4765784114052953,0.5363741339491918,0.3473053892215569,0.016465109545265418,0.5246636771300448,0.39919354838709675,0.0128,0.27205882352941174,0.595848291855624,0.2932587216927516,0.6222302158273382,0.2640595903165735,0.6492133048310406,0.21875,0.2660550458715596,0.5695677915926585,False,False,True
4,0.12,0.0,0.05675956615523076,0.5441937689227463,0.5086021505376345,0.30141458106637653,0.2318181818181818,0.4429735234215885,0.4878752886836028,0.3083832335329342,0.05408272778457465,0.42152466367713004,0.3266129032258065,0.0106,0.375,0.41974186119356555,0.4775727900673253,0.5791102711051499,0.22986964618249528,0.5676408220532198,0.35000000000000003,0.2844036697247706,0.5008880994671403,False,True,False
5,0.02,0.0,0.01760719294207554,0.8265455610899503,0.7903225806451613,0.4167573449401523,0.3909090909090909,0.6873727087576375,0.7546189376443418,0.4940119760479042,0.013833849654350442,0.5919282511210763,0.435483870967742,0.022000000000000002,0.625,0.5949439798637942,0.26073270962665035,0.7044547412917124,0.1931471135940409,0.6282707423473675,0.35875,0.33027522935779813,0.8046181172291297,False,True,False
6,0.04,0.0,0.02799335134502214,0.7498616401341277,0.7032258064516128,0.42763873775843314,0.3363636363636363,0.5824847250509164,0.6726327944572749,0.4341317365269461,0.024603883174491574,0.6233183856502241,0.46774193548387094,0.015,0.5955882352941176,0.5336756130643633,0.3009530471277433,0.5507133276429702,0.3343761638733705,0.7274805518455969,0.4025,0.4862385321100917,0.6856127886323268,False,False,True
7,0.02,0.0,0.014627829569525174,0.634095126477195,0.646236559139785,0.23503808487486397,0.049999999999999996,0.6354378818737271,0.6004618937644342,0.49101796407185627,0.01169394175856497,0.4663677130044843,0.3024193548387097,0.0208,0.47058823529411764,0.49682862480426665,0.39118649995628224,0.5584546600008127,0.28782122905027924,0.685513255896381,0.29750000000000004,0.4403669724770642,0.6358792184724689,False,False,True
8,0.46,0.0,0.13628971769007184,0.4546342416251587,0.3854838709677419,0.4134929270946681,0.09545454545454544,0.32484725050916496,0.3770207852193995,0.1976047904191617,0.13524085035225628,0.36771300448430494,0.2056451612903226,0.0086,0.16911764705882354,0.4050066405256063,0.21176882049488505,0.7342986627647033,0.18327746741154557,0.6091003749204351,0.21875,0.25229357798165136,0.37833037300177624,False,False,True
9,0.14,0.0,0.05374746680950549,0.7107790474330176,0.6516129032258065,0.3373231773667029,0.06818181818181818,0.6293279022403259,0.6131639722863742,0.45508982035928147,0.05085000728176717,0.632286995515695,0.5524193548387097,0.016399999999999998,0.375,0.525726156576308,0.36548045816210545,0.6405706621143763,0.21437616387337052,0.5986438108693811,0.385,0.32568807339449535,0.6506808762581409,True,False,False
10,0.02,0.0,0.01777675414483149,0.8028453299475861,0.7704301075268817,0.41784548422198037,0.39999999999999997,0.6374745417515274,0.7367205542725173,0.4760479041916168,0.014147072036053266,0.547085201793722,0.42338709677419356,0.015,0.49264705882352944,0.5183822558727492,0.4902509399318003,0.6492525301792464,0.15229050279329606,0.4810902494931767,0.6125,0.2844036697247706,0.7714624037892245,False,False,True
11,0.06976744186046512,0.0,0.03558055613821631,0.47383503264232896,0.4868717179294824,0.30179416453678165,0.3911205073995771,0.4068109695448302,0.46828508512809497,0.28895696978136753,0.03379295854470842,0.44321618521222234,0.450112528132033,0.0159545700378583,0.2867647058823529,0.7527960984210116,0.3627557234678959,0.2203144067323988,0.648217920401888,0.751700484403785,0.32558139534883723,0.40004267121826326,0.46368430473515354,False,False,True
12,0.0,0.0,0.01445616454751068,0.6462870723052381,0.660752688172043,0.3035908596300327,0.41363636363636364,0.5468431771894093,0.628175519630485,0.4281437125748503,0.011193837085083157,0.5336322869955157,0.35080645161290325,0.011399999999999999,0.45588235294117646,0.5862587353848013,0.2899361720730961,0.6725488761533146,0.21378026070763495,0.607994132746608,0.42875,0.3532110091743119,0.6542332741267022,False,True,False
